scenario,total_people,completed_people,completion_rate,average_wait,p95_wait,max_wait,average_gate_wait,p95_gate_wait,wait_normal,wait_peak,max_wait_peak,average_ride,open_count,close_count,door_actions,invalid_stops,sensor_skips,average_load,utilization
改造前,700.0,700.0,100.0,19.03481669819943,51.453058157527536,230.72592372023172,23.03481669819943,56.06603835727574,8.227291349077927,20.976634818551013,230.72592372023172,31.37384285724874,659.5,659.5,1319.0,141.8,0.0,3.1978091961782082,21.489236111106784
改造后,700.0,700.0,100.0,17.615573841034923,52.56779052338457,133.58774361274564,17.615573841034923,52.56779052338457,12.10813327385699,18.604604856368443,133.58774361274564,29.700614285814176,527.05,527.05,1054.1,16.15,16.15,2.973418357691437,21.094212962958995
